Datum;BV;;;;;;;;;;
2018-05-07;83.019.213;;;;;;;;;;
2018-05-08;83.019.213;;;;;;;;;;
2018-05-09;83.019.213;;;;;;;;;;
2018-05-10;83.019.213;;;;;;;;;;
2018-05-11;83.019.213;;;;;;;;;;
2018-05-12;83.019.213;;;;;;;;;;
2018-05-13;83.019.213;;;;;;;;;;
2018-05-14;83.019.213;;;;;;;;;;
2018-05-15;83.019.213;;;;;;;;;;
2018-05-16;83.019.213;;;;;;;;;;
2018-05-17;83.019.213;;;;;;;;;;
2018-05-18;83.019.213;;;;;;;;;;
2018-05-19;83.019.213;;;;;;;;;;
2018-05-20;83.019.213;;;;;;;;;;
2018-05-21;83.019.213;;;;;;;;;;
2018-05-22;83.019.213;;;;;;;;;;
2018-05-23;83.019.213;;;;;;;;;;
2018-05-24;83.019.213;;;;;;;;;;
2018-05-25;83.019.213;;;;;;;;;;
2018-05-26;83.019.213;;;;;;;;;;
2018-05-27;83.019.213;;;;;;;;;;
2018-05-28;83.019.213;;;;;;;;;;
2018-05-29;83.019.213;;;;;;;;;;
2018-05-30;83.019.213;;;;;;;;;;
2018-05-31;83.019.213;;;;;;;;;;
2018-06-01;83.019.213;;;;;;;;;;
2018-06-02;83.019.213;;;;;;;;;;
2018-06-03;83.019.213;;;;;;;;;;
2018-06-04;83.019.213;;;;;;;;;;
2018-06-05;83.019.213;;;;;;;;;;
2018-06-06;83.019.213;;;;;;;;;;
2018-06-07;83.019.213;;;;;;;;;;
2018-06-08;83.019.213;;;;;;;;;;
2018-06-09;83.019.213;;;;;;;;;;
2018-06-10;83.019.213;;;;;;;;;;
2018-06-11;83.019.213;;;;;;;;;;
2018-06-12;83.019.213;;;;;;;;;;
2018-06-13;83.019.213;;;;;;;;;;
2018-06-14;83.019.213;;;;;;;;;;
2018-06-15;83.019.213;;;;;;;;;;
2018-06-16;83.019.213;;;;;;;;;;
2018-06-17;83.019.213;;;;;;;;;;
2018-06-18;83.019.213;;;;;;;;;;
2018-06-19;83.019.213;;;;;;;;;;
2018-06-20;83.019.213;;;;;;;;;;
2018-06-21;83.019.213;;;;;;;;;;
2018-06-22;83.019.213;;;;;;;;;;
2018-06-23;83.019.213;;;;;;;;;;
2018-06-24;83.019.213;;;;;;;;;;
2018-06-25;83.019.213;;;;;;;;;;
2018-06-26;83.019.213;;;;;;;;;;
2018-06-27;83.019.213;;;;;;;;;;
2018-06-28;83.019.213;;;;;;;;;;
2018-06-29;83.019.213;;;;;;;;;;
2018-06-30;83.019.213;;;;;;;;;;
2018-07-01;83.019.213;;;;;;;;;;
2018-07-02;83.019.213;;;;;;;;;;
2018-07-03;83.019.213;;;;;;;;;;
2018-07-04;83.019.213;;;;;;;;;;
2018-07-05;83.019.213;;;;;;;;;;
2018-07-06;83.019.213;;;;;;;;;;
2018-07-07;83.019.213;;;;;;;;;;
2018-07-08;83.019.213;;;;;;;;;;
2018-07-09;83.019.213;;;;;;;;;;
2018-07-10;83.019.213;;;;;;;;;;
2018-07-11;83.019.213;;;;;;;;;;
2018-07-12;83.019.213;;;;;;;;;;
2018-07-13;83.019.213;;;;;;;;;;
2018-07-14;83.019.213;;;;;;;;;;
2018-07-15;83.019.213;;;;;;;;;;
2018-07-16;83.019.213;;;;;;;;;;
2018-07-17;83.019.213;;;;;;;;;;
2018-07-18;83.019.213;;;;;;;;;;
2018-07-19;83.019.213;;;;;;;;;;
2018-07-20;83.019.213;;;;;;;;;;
2018-07-21;83.019.213;;;;;;;;;;
2018-07-22;83.019.213;;;;;;;;;;
2018-07-23;83.019.213;;;;;;;;;;
2018-07-24;83.019.213;;;;;;;;;;
2018-07-25;83.019.213;;;;;;;;;;
2018-07-26;83.019.213;;;;;;;;;;
2018-07-27;83.019.213;;;;;;;;;;
2018-07-28;83.019.213;;;;;;;;;;
2018-07-29;83.019.213;;;;;;;;;;
2018-07-30;83.019.213;;;;;;;;;;
2018-07-31;83.019.213;;;;;;;;;;
2018-08-01;83.019.213;;;;;;;;;;
2018-08-02;83.019.213;;;;;;;;;;
2018-08-03;83.019.213;;;;;;;;;;
2018-08-04;83.019.213;;;;;;;;;;
2018-08-05;83.019.213;;;;;;;;;;
2018-08-06;83.019.213;;;;;;;;;;
2018-08-07;83.019.213;;;;;;;;;;
2018-08-08;83.019.213;;;;;;;;;;
2018-08-09;83.019.213;;;;;;;;;;
2018-08-10;83.019.213;;;;;;;;;;
2018-08-11;83.019.213;;;;;;;;;;
2018-08-12;83.019.213;;;;;;;;;;
2018-08-13;83.019.213;;;;;;;;;;
2018-08-14;83.019.213;;;;;;;;;;
2018-08-15;83.019.213;;;;;;;;;;
2018-08-16;83.019.213;;;;;;;;;;
2018-08-17;83.019.213;;;;;;;;;;
2018-08-18;83.019.213;;;;;;;;;;
2018-08-19;83.019.213;;;;;;;;;;
2018-08-20;83.019.213;;;;;;;;;;
2018-08-21;83.019.213;;;;;;;;;;
2018-08-22;83.019.213;;;;;;;;;;
2018-08-23;83.019.213;;;;;;;;;;
2018-08-24;83.019.213;;;;;;;;;;
2018-08-25;83.019.213;;;;;;;;;;
2018-08-26;83.019.213;;;;;;;;;;
2018-08-27;83.019.213;;;;;;;;;;
